metric,column,value
generated_at,,2026-05-30 19:29:57
file_path,,E:\ITI\Data_Exploraion\taxi_zone_lookup.csv
status,,SUCCESS
total_rows,,265
total_columns,,4
total_missing,,4
duplicate_rows,,0
dtype,LocationID,int64
dtype,Borough,str
dtype,Zone,str
dtype,service_zone,str
missing_count,LocationID,0
missing_count,Borough,1
missing_count,Zone,1
missing_count,service_zone,2
missing_pct,LocationID,0.0
missing_pct,Borough,0.38
missing_pct,Zone,0.38
missing_pct,service_zone,0.75
stat_count,LocationID,265.0
stat_mean,LocationID,133.0
stat_std,LocationID,76.6431
stat_min,LocationID,1.0
stat_25%,LocationID,67.0
stat_50%,LocationID,133.0
stat_75%,LocationID,199.0
stat_max,LocationID,265.0
